confidence;created_at;evidence_level;id;is_active;notes;nst_code;nst_level;pad_category;requires_operator_validation;source_document;source_reference;updated_at;validation_status
0.45;2026-05-07 22:07:55.013958+00;expert_rule;2034a130-e84d-434d-869a-db3fc693383b;true;Division 09 inclut ciment, chaux, platre (09.2). T05 = cereales, ciment, riz et produits assimiles. Le ciment est explicitement dans le label T05. Candidate secondaire, depend du produit exact. | [AUDIT-R1] T05 pertinent pour ciment fini (09.2) mais pas pour verre/céramique. Confidence baissée. Le conflit T05/T07 pour le ciment doit être résolu au group-level.;09;division;T05;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433);2026-05-07 22:07:55.013958+00;candidate
0.55;2026-05-07 22:07:55.013958+00;expert_rule;63ec08d6-b912-4207-af7d-4367e7fb1f5f;true;Division 09 = produits mineraux non metalliques. T07 = clinker, farine, charbon, sable et vracs pondereux. Le ciment (09.2), le sable, le clinker sont dans T07. Ambiguite avec T12 pour les produits mineraux manufactures (verre, ceramique). | [AUDIT-R1] T07 pertinent pour clinker, sable, matériaux de carrière. Plus large que T05 pour cette division. Conflit ciment/clinker documenté.;09;division;T07;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433);2026-05-07 22:07:55.013958+00;candidate
0.5;2026-05-07 22:07:55.013958+00;expert_rule;51102996-8915-45c2-86c8-a6155eb902b6;true;Division 10 inclut les produits metalliques fabriques (10.3-10.5). T12 = materiaux et produits manufactures. Les tubes, profiles, produits metalliques structurels sont des produits manufactures. Candidate secondaire. | [AUDIT-R1] T12 pertinent pour produits métalliques fabriqués (10.3-10.5). Accepté comme candidat secondaire derrière T14.;10;division;T12;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433);2026-05-07 22:07:55.013958+00;candidate
0.7;2026-05-07 22:07:55.013958+00;expert_rule;44c6aced-2290-4dee-ba84-34f61e32788d;true;Division 10 = metaux de base, produits metalliques. T14 = fil machine et feuillard. Les produits de premiere transformation (10.1) correspondent a T14. Ambiguite avec T12 pour les produits metalliques fabriques et T08 pour les ferrailles. | [AUDIT-R1] Match direct : label PAD T14 = 'Fil machine et feuillard'. Division 10 = métaux de base. Le fil machine est un produit de première transformation.;10;division;T14;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433);2026-05-07 22:07:55.013958+00;candidate
0.55;2026-05-07 22:07:55.013958+00;expert_rule;1500f136-e82f-445f-ae1c-2d36217a3f20;true;Division 11 = machines, equipements, informatique, electronique. T01 = biens de valeur, electronique, informatique et mobilier. L'informatique et l'electronique sont explicitement dans le label T01. Ambiguite avec T09 pour les machines industrielles et T12 pour les appareils menagers. | [AUDIT-R1] T01 pertinent pour informatique et électronique (11.3-11.7) mais pas pour machines industrielles (11.1, 11.8). Division hétérogène.;11;division;T01;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433);2026-05-07 22:07:55.013958+00;candidate
0.75;2026-05-07 22:07:55.013958+00;expert_rule;1ff3c4e4-3f46-4f6e-a7c3-b3ceaa706cc0;true;Division 12 = materiel de transport. T09 = tracteurs, vehicules industriels et materiel de transport. Correspondance directe entre 'transport equipment' et le label T09. | [AUDIT-R1] Match direct : label PAD T09 = 'Tracteurs, véhicules industriels et matériel de transport'. Division 12 = matériel de transport.;12;division;T09;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433);2026-05-07 22:07:55.013958+00;candidate
0.7;2026-05-07 22:07:55.013958+00;expert_rule;1dff8034-f4c9-4c65-8512-47e4a8f4a47c;true;Division 13 = meubles et autres produits manufactures. T01 = biens de valeur, electronique, informatique et mobilier. Le mobilier est explicitement dans le label T01. Ambiguite avec T12 pour les 'autres produits manufactures'. | [AUDIT-R1] Match direct : label PAD T01 mentionne 'mobilier'. Division 13 = meubles et autres produits manufacturés.;13;division;T01;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433);2026-05-07 22:07:55.013958+00;candidate
0.5;2026-05-07 22:07:55.013958+00;expert_rule;a480cd27-1958-44a0-b376-39fc17db9cd7;true;Division 13 inclut 'other manufactured goods' (13.2). T12 = materiaux et produits manufactures. Les produits manufactures divers relevent de T12. Candidate secondaire. | [AUDIT-R1] T12 pertinent pour 'autres produits manufacturés' (13.2). Candidat secondaire cohérent.;13;division;T12;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433);2026-05-07 22:07:55.013958+00;candidate
0.5;2026-05-07 22:07:55.013958+00;expert_rule;fca66ce4-a611-423a-97a9-aaba244934b8;true;Division 14 = matieres premieres secondaires, dechets. T08 = attapulgite, phosphates, ferrailles, tourteaux, cellulose. Les ferrailles et dechets metalliques secondaires correspondent a T08. Ambiguite car les dechets municipaux (14.1) ne correspondent a aucune categorie PAD claire. | [AUDIT-R1] T08 ferrailles pertinent pour matières premières secondaires mais pas pour déchets municipaux. Confidence baissée.;14;division;T08;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433);2026-05-07 22:07:55.013958+00;candidate
0.85;2026-05-07 22:07:55.013958+00;expert_rule;4a89ef00-07c6-448d-9b34-9e91706859b1;true;Cereales -> T05 : le label PAD T05 mentionne explicitement 'cereales, ciment, riz'. Match direct entre le groupe NST et le label PAD. | [AUDIT-R1] Match direct : label PAD T05 = 'Céréales, ciment, riz et produits assimilés'. Céréales explicitement nommées.;01.1;group;T05;true;PAD_NST_RECOMMENDATION_ENGINE.md;Label PAD T05 = 'Cereales, ciment, riz et produits assimiles';2026-05-07 22:07:55.013958+00;candidate
0.5;2026-05-07 22:07:55.013958+00;expert_rule;48262e56-bca3-4ed5-9730-a8f3f0613ee1;true;Pommes de terre -> T02 : produit agricole frais, classe marchandises generales en l'absence d'alias PAD specifique. Pas de categorie PAD dediee aux tubercules. | [AUDIT-R1] Produit agricole frais sans catégorie PAD dédiée. T02 par défaut acceptable.;01.2;group;T02;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD;2026-05-07 22:07:55.013958+00;candidate
0.5;2026-05-07 22:07:55.013958+00;expert_rule;edc3b2fb-4a6f-4c6a-8499-aa8629bd7ee0;true;Legumes et fruits frais -> T03 : matieres premieres agricoles fraiches. T03 = acides, sucres et matieres premieres, inclut les produits agricoles bruts non transformes. | [AUDIT-R1] T03 'matières premières' acceptable pour fruits/légumes frais mais confiance faible. Pas de catégorie PAD dédiée produits frais.;01.3;group;T03;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD;2026-05-07 22:07:55.013958+00;candidate
0.55;2026-05-07 22:07:55.013958+00;expert_rule;6637e20d-7da7-489e-81e8-0492f3ae86ab;true;Fleurs et plantes -> T02 : marchandises generales. Pas de categorie PAD dediee aux plantes. T02 est le classement par defaut pour les produits agricoles non-cereales/non-peche. | [AUDIT-R1] Produit agricole sans catégorie PAD dédiée. T02 par défaut cohérent.;01.4;group;T02;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD;2026-05-07 22:07:55.013958+00;candidate
0.8;2026-05-07 22:07:55.013958+00;expert_rule;764be373-3050-488e-89b3-409ae2eee4a5;true;Bois brut -> T04 : le label PAD T04 mentionne 'bois et produits divers'. Le bois brut non transforme correspond directement a T04. | [AUDIT-R1] Match direct : label PAD T04 = 'Bois et produits divers'. Bois brut explicitement couvert.;01.5;group;T04;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD;2026-05-07 22:07:55.013958+00;candidate
0.55;2026-05-07 22:07:55.013958+00;expert_rule;06dc03c2-ad61-4c22-9f30-36443f68fcba;true;Animaux vivants -> T02 : pas de categorie PAD specifique pour le betail. T02 marchandises generales par defaut. | [AUDIT-R1] Animaux vivants sans catégorie PAD dédiée. T02 par défaut acceptable. Confidence modérée.;01.6;group;T02;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD;2026-05-07 22:07:55.013958+00;candidate
0.55;2026-05-07 22:07:55.013958+00;expert_rule;092462a1-eede-482f-a970-ceb6600acc69;true;Fibres textiles brutes -> T03 : matieres premieres textiles non transformees. T03 = acides, sucres et matieres premieres, inclut les matieres premieres brutes. | [AUDIT-R1] Fibres textiles brutes sont des matières premières. T03 pertinent. Confiance modérée.;01.7;group;T03;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD;2026-05-07 22:07:55.013958+00;candidate
0.8;2026-05-07 22:07:55.013958+00;nstr_bridge_inferred;a1ff804c-512e-42a4-838b-f942a4180d5e;true;Oilseeds and oleaginous fruits -> T06 : NSTR bridge 01.A maps to oleagineux. T06 = arachides, oleagineux. Match direct via NSTR correspondance. | [AUDIT-R1] Match direct via pont NSTR : oléagineux → T06 = 'Arachides, oléagineux'. Correspondance explicite.;01.A;group;T06;true;PAD_NST_RECOMMENDATION_ENGINE.md;NSTR bridge: 01.A oleagineux -> T06;2026-05-07 22:07:55.013958+00;candidate
0.8;2026-05-07 22:07:55.013958+00;expert_rule;7507a7e1-6599-4a7f-9494-3a132b2721bd;true;Poissons et crustaces -> P05 : le label PAD P05 = 'produits de peche NDA'. Correspondance directe entre produits de la peche et P05. | [AUDIT-R1] Match direct : label PAD P05 = 'Produits de pêche NDA'. Correspondance explicite.;01.B;group;P05;true;PAD_NST_RECOMMENDATION_ENGINE.md;Label PAD P05 = 'Produits de peche NDA';2026-05-07 22:07:55.013958+00;candidate
0.8;2026-05-07 22:07:55.013958+00;expert_rule;ee072e3f-8a5b-4f1b-a474-b4c7d7601209;true;Charbon et lignite -> T07 : le label PAD T07 mentionne 'charbon' explicitement. Match direct. | [AUDIT-R1] Match direct : label PAD T07 = 'Clinker, farine, charbon, sable et vracs pondéreux'. Charbon explicitement nommé.;02.1;group;T07;true;PAD_NST_RECOMMENDATION_ENGINE.md;Label PAD T07 = 'Clinker, farine, charbon, sable et vracs pondereux';2026-05-07 22:07:55.013958+00;candidate
0.85;2026-05-07 22:07:55.013958+00;expert_rule;7e191e7f-e252-4176-b533-223be29350c8;true;Petrole brut -> T11 : le label PAD T11 mentionne 'petrole brut' explicitement. Match direct parfait. | [AUDIT-R1] Match direct parfait : label PAD T11 = 'Pétrole brut, essences, bitumes, hydrocarbures raffinés'. Pétrole brut explicitement nommé.;02.2;group;T11;true;PAD_NST_RECOMMENDATION_ENGINE.md;Label PAD T11 = 'Petrole brut, essences, bitumes, hydrocarbures raffines';2026-05-07 22:07:55.013958+00;candidate
0.55;2026-05-07 22:07:55.013958+00;expert_rule;50b52cec-1ec2-46e0-808f-43266c0cb40e;true;Gaz naturel -> T06 : rapprochement indirect. T06 = arachides, oleagineux. Le gaz naturel n'a pas de categorie PAD dediee. T06 pourrait couvrir les huiles/gaz naturels par extension semantique. | [AUDIT-R1] T06 rapprochement faible pour gaz naturel. Enrichir les notes pour indiquer que le gaz naturel manque de catégorie PAD.;02.3;group;T06;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD;2026-05-07 22:07:55.013958+00;candidate
0.75;2026-05-07 22:07:55.013958+00;expert_rule;2e667cfc-9028-4f60-9164-b07af0492b34;true;Minerais de fer -> T03 : minerai brut = matiere premiere. T03 = acides, sucres et matieres premieres. Les minerais metalliques sont des matieres premieres de base. | [AUDIT-R1] Minerai de fer = matière première. T03 pertinent. Confiance relevée.;03.1;group;T03;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD;2026-05-07 22:07:55.013958+00;candidate
0.7;2026-05-07 22:07:55.013958+00;expert_rule;3146fce9-79a9-4e29-9be8-20bed814c620;true;Minerais non ferreux -> T03 : minerais bruts = matieres premieres. Meme logique que 03.1 pour les minerais de fer. | [AUDIT-R1] Même logique que 03.1. Minerais non ferreux = matières premières.;03.2;group;T03;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD;2026-05-07 22:07:55.013958+00;candidate
0.5;2026-05-07 22:07:55.013958+00;expert_rule;7e48ec02-b14d-47aa-a3fc-4aa9b2a7c21a;true;Mineraux pour chimie et engrais -> T06 : rapprochement par extension. Les mineraux fertilisants incluent les phosphates naturels. T08 serait plus precis pour les phosphates mais T06 est propose comme alternative. | [AUDIT-R1] T06 rapprochement faible. T08 (phosphates) serait plus précis. Confiance ajustée à la baisse.;03.3;group;T06;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD;2026-05-07 22:07:55.013958+00;candidate
0.85;2026-05-07 22:07:55.013958+00;expert_rule;54bd4a89-e3bf-4aec-a864-d44eb60e9fbd;true;Sel -> T10 : le label PAD T10 mentionne 'sel' explicitement. Match direct. | [AUDIT-R1] Match direct : label PAD T10 = 'Sel, soufre et produits chimiques'. Sel explicitement nommé.;03.4;group;T10;true;PAD_NST_RECOMMENDATION_ENGINE.md;Label PAD T10 = 'Sel, soufre et produits chimiques';2026-05-07 22:07:55.013958+00;candidate
0.8;2026-05-07 22:07:55.013958+00;expert_rule;37b7bd3f-5b35-4ac2-bbf8-ff5d405db2a4;true;Sable, gravier, argile -> T07 : le label PAD T07 mentionne 'sable' explicitement. Les materiaux de carriere correspondent directement a T07. | [AUDIT-R1] Match direct : label PAD T07 = 'Clinker, farine, charbon, sable et vracs pondéreux'. Sable explicitement nommé.;03.5;group;T07;true;PAD_NST_RECOMMENDATION_ENGINE.md;Label PAD T07 = 'Clinker, farine, charbon, sable et vracs pondereux';2026-05-07 22:07:55.013958+00;candidate
0.6;2026-05-07 22:07:55.013958+00;expert_rule;1cb05b32-0ad5-4aaa-9aa5-aa329674fad1;true;Viandes et produits carnes -> T02 : denrees alimentaires transformees classees marchandises generales. Pas de categorie PAD dediee aux viandes. | [AUDIT-R1] Denrées alimentaires transformées. T02 par défaut acceptable.;04.1;group;T02;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD;2026-05-07 22:07:55.013958+00;candidate
0.75;2026-05-07 22:07:55.013958+00;expert_rule;ae54cbc8-1bbf-49dc-83fa-c2997b1f035c;true;Poissons transformes -> P05 : produits de la peche transformes. P05 = produits de peche NDA. Les conserves et poissons transformes restent dans la famille peche. | [AUDIT-R1] Produits de la pêche transformés restent dans P05 'Produits de pêche NDA'. Cohérent.;04.2;group;P05;true;PAD_NST_RECOMMENDATION_ENGINE.md;Label PAD P05 = 'Produits de peche NDA';2026-05-07 22:07:55.013958+00;candidate
0.6;2026-05-07 22:07:55.013958+00;expert_rule;f8b9194e-3c9c-497c-9c0e-f9486532dec1;true;Fruits et legumes transformes -> T02 : produits alimentaires transformes classes marchandises generales. | [AUDIT-R1] Produits alimentaires transformés. T02 par défaut acceptable.;04.3;group;T02;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD;2026-05-07 22:07:55.013958+00;candidate
0.8;2026-05-07 22:07:55.013958+00;nstr_bridge_inferred;ce4952b5-513d-4881-a0b1-0321d0646e85;true;Huiles et graisses vegetales et animales -> T06 : NSTR bridge maps huiles vegetales to T06 oleagineux. Le label PAD T06 = 'arachides, oleagineux' couvre les huiles. | [AUDIT-R1] Match via pont NSTR : huiles végétales → T06 'Arachides, oléagineux'. Correspondance directe.;04.4;group;T06;true;PAD_NST_RECOMMENDATION_ENGINE.md;NSTR bridge: huiles vegetales -> T06 oleagineux;2026-05-07 22:07:55.013958+00;candidate
0.5;2026-05-07 22:07:55.013958+00;expert_rule;afcf2b59-5775-4168-9a51-09d8741571c3;true;Produits laitiers -> T02 : denrees alimentaires transformees classees marchandises generales. Pas de categorie PAD specifique pour les produits laitiers. | [AUDIT-R1] Produits laitiers = denrées transformées. T02 par défaut. Confiance modérée.;04.5;group;T02;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD;2026-05-07 22:07:55.013958+00;candidate
0.8;2026-05-07 22:07:55.013958+00;expert_rule;56e08573-8075-4ae5-abfd-2bead57ddd13;true;Farines et produits amylaces -> T05 : le label PAD T05 mentionne 'farine' dans 'clinker, farine' (T07) mais aussi 'cereales, ciment, riz' pour les produits cerealiers transformes. La farine est un produit cerealier transforme. | [AUDIT-R1] La farine est un produit céréalier transformé. T05 'Céréales, ciment, riz et produits assimilés' est le bon classement. Match direct.;04.6;group;T05;true;PAD_NST_RECOMMENDATION_ENGINE.md;Label PAD T05 = 'Cereales, ciment, riz et produits assimiles';2026-05-07 22:07:55.013958+00;candidate
0.5;2026-05-07 22:07:55.013958+00;expert_rule;ec75d3ef-acc0-41f6-be71-0c3f3bd7e13d;true;Farines et produits amylaces -> T07 : le label PAD T07 mentionne 'farine' dans 'clinker, farine, charbon, sable'. Ambiguite car T07 couvre surtout les vracs pondereux industriels. Candidate secondaire. | [AUDIT-R1] T07 mentionne 'farine' mais contexte industriel (clinker, charbon). Confiance ajustée à la baisse. Candidat secondaire.;04.6;group;T07;true;PAD_NST_RECOMMENDATION_ENGINE.md;Label PAD T07 = 'Clinker, farine, charbon, sable et vracs pondereux';2026-05-07 22:07:55.013958+00;candidate
0.5;2026-05-07 22:07:55.013958+00;expert_rule;d8230ecd-8aac-4db8-8c8f-58f760a1bce9;true;Boissons alcoolisees -> T01 : les alias PAD existants classent les vins et spiritueux sous T01 'biens de valeur'. Les boissons alcoolisees sont des produits a valeur elevee. | [AUDIT-R1] Vins et spiritueux classés 'biens de valeur' T01 via alias PAD existants. Confiance ajustée.;04.7;group;T01;true;PAD_NST_RECOMMENDATION_ENGINE.md;Alias PAD: vins et spiritueux -> T01;2026-05-07 22:07:55.013958+00;candidate
0.5;2026-05-07 22:07:55.013958+00;expert_rule;7a6e5c83-d003-47c0-a6ce-5efdf14fc563;true;Boissons alcoolisees -> T02 : alternative a T01. Les boissons peuvent aussi etre classees marchandises generales selon le volume et la valeur. | [AUDIT-R1] Alternative T02 acceptable pour boissons en vrac ou à faible valeur. Confiance identique à T01.;04.7;group;T02;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD;2026-05-07 22:07:55.013958+00;candidate
0.45;2026-05-07 22:07:55.013958+00;expert_rule;49b50829-746a-48c2-a558-05a9f8724f87;true;Tabac -> T01 : le tabac est un produit a valeur elevee, taxe, qui pourrait relever de T01 'biens de valeur'. Rapprochement indicatif. | [AUDIT-R1] Tabac = produit à valeur élevée et taxé. T01 'biens de valeur' plausible mais confiance ajustée.;04.8;group;T01;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD;2026-05-07 22:07:55.013958+00;candidate
0.55;2026-05-07 22:07:55.013958+00;expert_rule;8ea5f493-35be-4f89-bbcf-c4a5cec54b88;true;Tabac -> T02 : alternative. Le tabac en vrac ou transforme peut etre classe marchandises generales. | [AUDIT-R1] Tabac en vrac = marchandises générales T02. Confiance légèrement supérieure à T01.;04.8;group;T02;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD;2026-05-07 22:07:55.013958+00;candidate
0.7;2026-05-07 22:07:55.013958+00;expert_rule;29d58e86-20e8-4d12-acb7-c40870668a9b;true;Vetements et articles en fourrure -> T12 : produits textiles manufactures. T12 = materiaux et produits manufactures. Les vetements sont des produits manufactures finis. | [AUDIT-R1] Vêtements = produits manufacturés finis. T12 pertinent.;05.1;group;T12;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD;2026-05-07 22:07:55.013958+00;candidate
0.6;2026-05-07 22:07:55.013958+00;expert_rule;d7fb2f93-d559-4246-a05f-00224701b879;true;Chaussures -> T12 : produits manufactures finis. Meme logique que les vetements (05.1). | [AUDIT-R1] Chaussures = produits manufacturés finis. Même logique que 05.1.;05.2;group;T12;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD;2026-05-07 22:07:55.013958+00;candidate
0.6;2026-05-07 22:07:55.013958+00;expert_rule;a7d900e8-9f2b-4674-a8e9-17d50f9ec6c1;true;Cuir et articles en cuir -> T12 : produits manufactures. Les articles en cuir (maroquinerie) sont des produits manufactures finis. | [AUDIT-R1] Articles en cuir = produits manufacturés. T12 pertinent.;05.3;group;T12;true;PAD_NST_RECOMMENDATION_ENGINE.md;Section 6 — Rapprochement indicatif NST -> familles PAD;2026-05-07 22:07:55.013958+00;candidate
