nst_level,nst_code,nst_label,pad_category,pad_category_label,confidence,evidence_level,validation_status,requires_operator_validation,notes,source_document,source_reference
division,06,"Wood and products of wood and cork; pulp, paper and paper products; printed matter and recorded media",T04,Bois et produits divers,0.45,expert_rule,candidate,True,"Division 06 = bois, liege, papier. T04 = bois et produits divers. Le bois et ses derives correspondent directement au label T04. Confidence raisonnable car le label PAD est explicite.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,07,Coke and refined petroleum products,T11,"Pétrole brut, essences, bitumes, hydrocarbures raffinés",0.5,expert_rule,candidate,True,"Division 07 = coke et produits petroliers raffines. T11 = petrole brut, essences, bitumes, hydrocarbures raffines. Correspondance directe entre produits petroliers raffines et le label T11. Meilleur match division-level du manifeste.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,08,"Chemicals, chemical products, and man-made fibres; rubber and plastic products; nuclear fuel",T03,"Acides, sucres et matières premières",0.35,expert_rule,candidate,True,"Division 08 = chimie, plastiques, caoutchouc, combustible nucleaire. T03 = acides, sucres et matieres premieres. Les produits chimiques de base (acides) correspondent a T03. Forte ambiguite : la division couvre aussi les plastiques (T12), les engrais (T08), les produits pharmaceutiques (T02).",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,08,"Chemicals, chemical products, and man-made fibres; rubber and plastic products; nuclear fuel",T12,Matériaux et produits manufacturés,0.3,expert_rule,candidate,True,"Division 08 inclut les plastiques et caoutchoucs (08.4, 08.6). T12 = materiaux et produits manufactures. Les produits plastiques/caoutchouc manufactures relevent de T12. Candidate secondaire, ambiguite forte avec T03.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,09,Other non-metallic mineral products,T05,"Céréales, ciment, riz et produits assimilés",0.35,expert_rule,candidate,True,"Division 09 inclut ciment, chaux, platre (09.2). T05 = cereales, ciment, riz et produits assimiles. Le ciment est explicitement dans le label T05. Candidate secondaire, depend du produit exact.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,09,Other non-metallic mineral products,T07,"Clinker, farine, charbon, sable et vracs pondéreux",0.45,expert_rule,candidate,True,"Division 09 = produits mineraux non metalliques. T07 = clinker, farine, charbon, sable et vracs pondereux. Le ciment (09.2), le sable, le clinker sont dans T07. Ambiguite avec T12 pour les produits mineraux manufactures (verre, ceramique).",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,10,"Basic metals; fabricated metal products, except machinery and equipment",T08,"Attapulgite, phosphates, ferrailles, tourteaux, cellulose",0.3,expert_rule,candidate,True,"Division 10 peut inclure des ferrailles et dechets metalliques en pratique. T08 = attapulgite, phosphates, ferrailles, tourteaux, cellulose. Les ferrailles sont explicitement dans le label T08. Candidate tertiaire.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,10,"Basic metals; fabricated metal products, except machinery and equipment",T12,Matériaux et produits manufacturés,0.35,expert_rule,candidate,True,"Division 10 inclut les produits metalliques fabriques (10.3-10.5). T12 = materiaux et produits manufactures. Les tubes, profiles, produits metalliques structurels sont des produits manufactures. Candidate secondaire.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,10,"Basic metals; fabricated metal products, except machinery and equipment",T14,Fil machine et feuillard,0.4,expert_rule,candidate,True,"Division 10 = metaux de base, produits metalliques. T14 = fil machine et feuillard. Les produits de premiere transformation (10.1) correspondent a T14. Ambiguite avec T12 pour les produits metalliques fabriques et T08 pour les ferrailles.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,11,"Machinery and equipment n.e.c.; office machinery and computers; electrical machinery and apparatus n.e.c.; radio, television and communication equipment and apparatus; medical, precision and optical instruments; watches and clocks",T01,"Biens de valeur, électronique, informatique et mobilier",0.4,expert_rule,candidate,True,"Division 11 = machines, equipements, informatique, electronique. T01 = biens de valeur, electronique, informatique et mobilier. L'informatique et l'electronique sont explicitement dans le label T01. Ambiguite avec T09 pour les machines industrielles et T12 pour les appareils menagers.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,11,"Machinery and equipment n.e.c.; office machinery and computers; electrical machinery and apparatus n.e.c.; radio, television and communication equipment and apparatus; medical, precision and optical instruments; watches and clocks",T09,"Tracteurs, véhicules industriels et matériel de transport",0.35,expert_rule,candidate,True,"Division 11 inclut les machines agricoles (11.1) et les machines-outils (11.8). T09 = tracteurs, vehicules industriels et materiel de transport. Les machines industrielles et tracteurs correspondent a T09. Candidate secondaire.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,12,Transport equipment,T09,"Tracteurs, véhicules industriels et matériel de transport",0.5,expert_rule,candidate,True,"Division 12 = materiel de transport. T09 = tracteurs, vehicules industriels et materiel de transport. Correspondance directe entre 'transport equipment' et le label T09.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,13,Furniture; other manufactured goods n.e.c.,T01,"Biens de valeur, électronique, informatique et mobilier",0.4,expert_rule,candidate,True,"Division 13 = meubles et autres produits manufactures. T01 = biens de valeur, electronique, informatique et mobilier. Le mobilier est explicitement dans le label T01. Ambiguite avec T12 pour les 'autres produits manufactures'.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,13,Furniture; other manufactured goods n.e.c.,T12,Matériaux et produits manufacturés,0.35,expert_rule,candidate,True,Division 13 inclut 'other manufactured goods' (13.2). T12 = materiaux et produits manufactures. Les produits manufactures divers relevent de T12. Candidate secondaire.,PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,14,Secondary raw materials; municipal wastes and other wastes,T08,"Attapulgite, phosphates, ferrailles, tourteaux, cellulose",0.4,expert_rule,candidate,True,"Division 14 = matieres premieres secondaires, dechets. T08 = attapulgite, phosphates, ferrailles, tourteaux, cellulose. Les ferrailles et dechets metalliques secondaires correspondent a T08. Ambiguite car les dechets municipaux (14.1) ne correspondent a aucune categorie PAD claire.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,15,"Mail, parcels",T13,Marchandises diverses en groupage,0.35,expert_rule,candidate,True,"Division 15 = courrier, colis. T13 = marchandises diverses en groupage. Les colis et envois postaux sont assimilables au groupage. Usage rare en contexte portuaire Dakar. Confidence faible.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,16,Equipment and material utilised in the transport of goods,T09,"Tracteurs, véhicules industriels et matériel de transport",0.4,expert_rule,candidate,True,"Division 16 = equipements de transport de marchandises en service. T09 = tracteurs, vehicules industriels et materiel de transport. Les conteneurs et caisses mobiles en service sont du materiel de transport.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
division,17,Goods moved in the course of household and office removals; baggage and articles accompanying travellers; motor vehicles being moved for repair; other non-market goods n.e.c.,T02,Marchandises générales,0.3,expert_rule,candidate,True,"Division 17 = demenagement, bagages, vehicules en reparation. T02 = marchandises generales. Les effets personnels de demenagement sont classes marchandises generales par defaut. Usage rare en contexte portuaire commercial Dakar. Confidence tres faible.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,01.1,Cereals,T05,"Céréales, ciment, riz et produits assimilés",0.6,expert_rule,candidate,True,"Cereales -> T05 : le label PAD T05 mentionne explicitement 'cereales, ciment, riz'. Match direct entre le groupe NST et le label PAD.",PAD_NST_RECOMMENDATION_ENGINE.md,"Label PAD T05 = 'Cereales, ciment, riz et produits assimiles'"
group,01.2,Potatoes,T02,Marchandises générales,0.4,expert_rule,candidate,True,"Pommes de terre -> T02 : produit agricole frais, classe marchandises generales en l'absence d'alias PAD specifique. Pas de categorie PAD dediee aux tubercules.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,01.3,Sugar beet,T03,"Acides, sucres et matières premières",0.45,expert_rule,candidate,True,"Betteraves sucrieres -> T03 : T03 = acides, sucres et matieres premieres. La betterave sucriere est une matiere premiere pour le sucre.",PAD_NST_RECOMMENDATION_ENGINE.md,"Label PAD T03 = 'Acides, sucres et matieres premieres'"
group,01.4,Other fresh fruit and vegetables,T02,Marchandises générales,0.4,expert_rule,candidate,True,Fruits et legumes frais -> T02 : marchandises generales. Pas de categorie PAD specifique aux fruits/legumes frais.,PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,01.5,Products of forestry and logging,T04,Bois et produits divers,0.55,expert_rule,candidate,True,Produits forestiers et bois d'exploitation -> T04 : T04 = bois et produits divers. Match direct entre bois brut et le label PAD T04.,PAD_NST_RECOMMENDATION_ENGINE.md,Label PAD T04 = 'Bois et produits divers'
group,01.6,Live plants and flowers,T02,Marchandises générales,0.35,expert_rule,candidate,True,"Plantes vivantes et fleurs -> T02 : marchandises generales. Pas de categorie PAD dediee a l'horticulture. Produit fragile, usage rare a Dakar.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,01.7,Other substances of vegetable origin,T03,"Acides, sucres et matières premières",0.4,expert_rule,candidate,True,"Autres substances d'origine vegetale -> T03 : matieres premieres vegetales (caoutchouc naturel, coton brut, fibres). T03 = acides, sucres et matieres premieres.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,01.8,Live animals,T02,Marchandises générales,0.35,expert_rule,candidate,True,"Animaux vivants -> T02 : marchandises generales. Pas de categorie PAD specifique aux animaux vivants. Transport specialise, rare en conteneur.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,01.9,"Raw milk from bovine cattle, sheep and goats",T02,Marchandises générales,0.3,expert_rule,candidate,True,Lait cru -> T02 : marchandises generales. Produit refrigere perissable. Pas de categorie PAD dediee aux produits laitiers bruts. Tres rare a Dakar en import maritime.,PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,01.A,Other raw materials of animal origin,T02,Marchandises générales,0.3,expert_rule,candidate,True,"Autres matieres premieres animales -> T02 : marchandises generales. Peaux brutes, laine, poils. Pas de categorie PAD specifique.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,01.B,Fish and other fishing products,P05,Produits de pêche non dénommés ailleurs,0.55,expert_rule,candidate,True,"Poissons et produits de la peche -> P05 : P05 = produits de peche non denommes ailleurs. Match direct entre le groupe NST et la famille PAD peche. Des sous-categories plus precises (P01-P04) existent pour crustaces, thonides, etc.",PAD_NST_RECOMMENDATION_ENGINE.md,Labels PAD P01-P05 = familles de produits de peche
group,02.1,Coal and lignite,T07,"Clinker, farine, charbon, sable et vracs pondéreux",0.55,expert_rule,candidate,True,"Charbon et lignite -> T07 : T07 = clinker, farine, charbon, sable et vracs pondereux. Le charbon est explicitement dans le label T07.",PAD_NST_RECOMMENDATION_ENGINE.md,"Label PAD T07 = 'Clinker, farine, charbon, sable et vracs pondereux'"
group,02.2,Crude petroleum,T11,"Pétrole brut, essences, bitumes, hydrocarbures raffinés",0.6,expert_rule,candidate,True,"Petrole brut -> T11 : T11 = petrole brut, essences, bitumes, hydrocarbures raffines. 'Petrole brut' est explicitement dans le label T11. Match direct.",PAD_NST_RECOMMENDATION_ENGINE.md,"Label PAD T11 = 'Petrole brut, essences, bitumes, hydrocarbures raffines'"
group,02.3,Natural gas,T06,"Gasoil, fuel oil, diesel, butane en vrac, phosphates",0.45,expert_rule,candidate,True,"Gaz naturel -> T06 : T06 = gasoil, fuel oil, diesel, butane en vrac, phosphates. Le butane est un gaz dans T06. Ambiguite car le gaz naturel n'est pas explicitement nomme, mais T06 couvre les hydrocarbures en vrac.",PAD_NST_RECOMMENDATION_ENGINE.md,"Label PAD T06 = 'Gasoil, fuel oil, diesel, butane en vrac, phosphates'"
group,02.3,Natural gas,T11,"Pétrole brut, essences, bitumes, hydrocarbures raffinés",0.4,expert_rule,candidate,True,"Gaz naturel -> T11 : T11 = petrole brut, essences, bitumes, hydrocarbures raffines. Le gaz naturel pourrait aussi relever de T11 comme hydrocarbure. Candidate secondaire derriere T06.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,03.1,Iron ores,T03,"Acides, sucres et matières premières",0.5,expert_rule,candidate,True,"Minerais de fer -> T03 : T03 = acides, sucres et matieres premieres. Les minerais de fer sont des matieres premieres brutes.",PAD_NST_RECOMMENDATION_ENGINE.md,"Label PAD T03 = 'Acides, sucres et matieres premieres'"
group,03.2,Non ferrous metal ores (except uranium and thorium ores),T03,"Acides, sucres et matières premières",0.45,expert_rule,candidate,True,Minerais de metaux non ferreux -> T03 : matieres premieres brutes. Meme raisonnement que 03.1 mais confidence legerement inferieure car les minerais non ferreux sont plus varies.,PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,03.3,Chemical and (natural) fertilizer minerals,T06,"Gasoil, fuel oil, diesel, butane en vrac, phosphates",0.4,expert_rule,candidate,True,Mineraux fertilisants -> T06 : T06 mentionne aussi 'phosphates'. Conflit PAD : les phosphates apparaissent dans T06 ET T08. Validation operateur obligatoire pour arbitrer.,PAD_NST_RECOMMENDATION_ENGINE.md,"Label PAD T06 = 'Gasoil, fuel oil, diesel, butane en vrac, phosphates'"
group,03.3,Chemical and (natural) fertilizer minerals,T08,"Attapulgite, phosphates, ferrailles, tourteaux, cellulose",0.5,expert_rule,candidate,True,"Mineraux fertilisants -> T08 : T08 = attapulgite, phosphates, ferrailles, tourteaux, cellulose. Les phosphates sont explicitement dans le label T08. Match direct.",PAD_NST_RECOMMENDATION_ENGINE.md,"Label PAD T08 = 'Attapulgite, phosphates, ferrailles, tourteaux, cellulose'"
group,03.4,Salt,T10,Sel de production locale,0.55,expert_rule,candidate,True,"Sel -> T10 : T10 = sel de production locale. Match direct entre sel et le label T10. Note : T10 precise 'production locale', ce qui peut ne pas convenir pour du sel importe. Confidence moyenne car restriction possible.",PAD_NST_RECOMMENDATION_ENGINE.md,Label PAD T10 = 'Sel de production locale'
group,03.5,"Stone, sand, gravel, clay, peat and other mining and quarrying products n.e.c.",T07,"Clinker, farine, charbon, sable et vracs pondéreux",0.55,expert_rule,candidate,True,"Pierre, sable, gravier, argile -> T07 : T07 = clinker, farine, charbon, sable et vracs pondereux. Le sable est explicitement dans le label T07. Les granulats et materiaux de carriere sont des vracs pondereux.",PAD_NST_RECOMMENDATION_ENGINE.md,"Label PAD T07 = 'Clinker, farine, charbon, sable et vracs pondereux'"
group,03.6,Uranium and thorium ores,T03,"Acides, sucres et matières premières",0.3,expert_rule,candidate,True,"Minerais d'uranium et de thorium -> T03 : matieres premieres specialisees. Extremement rare a Dakar. Confidence tres faible, usage theorique.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,04.1,"Meat, raw hides and skins and meat products",T02,Marchandises générales,0.45,expert_rule,candidate,True,"Viandes, peaux brutes, produits carnes -> T02 : marchandises generales. Denrees alimentaires transformees classees en marchandises generales.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,04.2,"Fish and fish products, processed and preserved",P05,Produits de pêche non dénommés ailleurs,0.5,expert_rule,candidate,True,Poissons transformes et conserves -> P05 : P05 = produits de peche NDA. Les produits de peche transformes restent dans la famille PAD peche.,PAD_NST_RECOMMENDATION_ENGINE.md,Labels PAD P01-P05
group,04.3,"Fruit and vegetables, processed and preserved",T02,Marchandises générales,0.45,expert_rule,candidate,True,Fruits et legumes transformes -> T02 : marchandises generales. Conserves et produits alimentaires transformes.,PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,04.4,Animal and vegetable oils and fats,T02,Marchandises générales,0.4,expert_rule,candidate,True,Huiles et graisses animales et vegetales -> T02 : marchandises generales. Huiles alimentaires en conteneur.,PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,04.5,Dairy products and ice cream,T02,Marchandises générales,0.4,expert_rule,candidate,True,Produits laitiers et creme glacee -> T02 : marchandises generales. Denrees alimentaires refrigerees.,PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,04.6,"Grain mill products, starches, starch products and prepared animal feeds",T05,"Céréales, ciment, riz et produits assimilés",0.55,expert_rule,candidate,True,"Farines, amidons, aliments pour animaux -> T05 : T05 = cereales, ciment, riz et produits assimiles. Les farines sont des produits cerealiers transformes, directement dans la famille T05.",PAD_NST_RECOMMENDATION_ENGINE.md,"Label PAD T05 = 'Cereales, ciment, riz et produits assimiles'"
group,04.6,"Grain mill products, starches, starch products and prepared animal feeds",T07,"Clinker, farine, charbon, sable et vracs pondéreux",0.4,expert_rule,candidate,True,"Farines -> T07 : T07 = clinker, farine, charbon, sable et vracs pondereux. La farine est explicitement dans le label T07 pour les vracs. Conflit avec T05 : depend si vrac (T07) ou conditionne (T05). Validation operateur necessaire.",PAD_NST_RECOMMENDATION_ENGINE.md,"Label PAD T07 = 'Clinker, farine, charbon, sable et vracs pondereux'"
group,04.7,Beverages,T01,"Biens de valeur, électronique, informatique et mobilier",0.4,expert_rule,candidate,True,Boissons -> T01 : T01 = biens de valeur. Des alias PAD existants classent 'boissons alcoolisees' sous T01. Ambiguite pour les boissons non alcoolisees qui pourraient relever de T02.,PAD_NST_RECOMMENDATION_ENGINE.md,Alias PAD existant : 'boissons alcoolisees sauf vin 13' -> T01
group,04.7,Beverages,T02,Marchandises générales,0.35,expert_rule,candidate,True,"Boissons non alcoolisees -> T02 : marchandises generales. Les boissons non alcoolisees (eau, jus) sont des marchandises generales. Candidate secondaire, depend du type de boisson.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,04.8,Other food products n.e.c. and tobacco products (except in parcel service or grouped),T01,"Biens de valeur, électronique, informatique et mobilier",0.35,expert_rule,candidate,True,"Tabac, cigarettes -> T01 : T01 = biens de valeur. Un alias PAD existant classe 'autre tabac, cigarettes, cigares' sous T01. Candidate secondaire pour la composante tabac du groupe.",PAD_NST_RECOMMENDATION_ENGINE.md,Alias PAD existant : 'autre tabac cigarettes cigares et filtres' -> T01
group,04.8,Other food products n.e.c. and tobacco products (except in parcel service or grouped),T02,Marchandises générales,0.45,expert_rule,candidate,True,Autres produits alimentaires et tabac -> T02 : marchandises generales. Les denrees alimentaires diverses et le tabac sont classes marchandises generales.,PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,05.1,Textiles,T12,Matériaux et produits manufacturés,0.45,expert_rule,candidate,True,"Textiles -> T12 : T12 = materiaux et produits manufactures. Les textiles manufactures (tissus, fils) sont des produits manufactures au sens PAD.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,05.2,Wearing apparel and articles of fur,T12,Matériaux et produits manufacturés,0.45,expert_rule,candidate,True,Vetements et fourrures -> T12 : produits manufactures. Les vetements sont des produits finis manufactures.,PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,05.3,Leather and leather products,T12,Matériaux et produits manufacturés,0.45,expert_rule,candidate,True,"Cuir et articles en cuir -> T12 : produits manufactures. Les articles en cuir (sacs, chaussures) sont des produits manufactures.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,06.1,Products of wood and cork (except furniture),T04,Bois et produits divers,0.6,expert_rule,candidate,True,Produits en bois et liege (hors meubles) -> T04 : T04 = bois et produits divers. Match direct entre bois et le label PAD T04.,PAD_NST_RECOMMENDATION_ENGINE.md,Label PAD T04 = 'Bois et produits divers'
group,06.2,"Pulp, paper and paper products",T04,Bois et produits divers,0.5,expert_rule,candidate,True,"Pate a papier, papier et produits en papier -> T04 : T04 = bois et produits divers. Le papier derive du bois. Ambiguite possible avec T12 pour les produits en papier tres transformes.",PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,06.3,Printed matter and recorded media,T12,Matériaux et produits manufacturés,0.4,expert_rule,candidate,True,Imprimes et medias enregistres -> T12 : produits manufactures. Les imprimes sont des produits manufactures finis. Pourraient aussi relever de T01 (biens de valeur) si haute valeur.,PAD_NST_RECOMMENDATION_ENGINE.md,Section 6 — Rapprochement indicatif NST -> familles PAD (lignes 412-433)
group,07.1,"Coke oven products; briquettes, ovoids and similar solid fuels",T07,"Clinker, farine, charbon, sable et vracs pondéreux",0.55,expert_rule,candidate,True,"Coke, briquettes, combustibles solides -> T07 : T07 = clinker, farine, charbon, sable et vracs pondereux. Le coke et les combustibles solides sont des vracs pondereux.",PAD_NST_RECOMMENDATION_ENGINE.md,Label PAD T07
group,07.2,Liquid refined petroleum products,T06,"Gasoil, fuel oil, diesel, butane en vrac, phosphates",0.5,expert_rule,candidate,True,"Produits petroliers liquides raffines -> T06 : T06 = gasoil, fuel oil, diesel. Le gasoil et le diesel sont des produits petroliers raffines liquides. Conflit T06/T11 : T06 couvre les carburants courants en vrac, T11 couvre les hydrocarbures raffines au sens large.",PAD_NST_RECOMMENDATION_ENGINE.md,"Label PAD T06 = 'Gasoil, fuel oil, diesel, butane en vrac, phosphates'"
group,07.2,Liquid refined petroleum products,T11,"Pétrole brut, essences, bitumes, hydrocarbures raffinés",0.65,nstr_bridge_inferred,candidate,True,"Produits petroliers liquides raffines -> T11 : T11 = petrole brut, essences, bitumes, hydrocarbures raffines. Match direct. Le pont NSTR->NST2007 (76 mappings pour division 07) confirme que les codes NSTR petroliers historiques convergent vers NST 07.2, et le label PAD T11 couvre explicitement les produits petroliers raffines.","nstr_nst2007_mappings (DB table, 9776 non-quarantined rows)",76 mappings NSTR division 07 + label PAD T11
