raw_designation,normalized_term,pad_category,source_section,source_page,status,commodity_category_present,tariff_confirmed_by_smoke_test,injection_note
INSTRUMENTS DE MUSIQUE,instruments de musique,T01,2.3.2,19,new,True,True,OK — catégorie confirmée par smoke test
MACHINE A CALCULER,machine a calculer,T01,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
MACHINES A CALCULER,machines a calculer,T01,2.3.2,19,new,True,True,OK — catégorie confirmée par smoke test
"MAGNETOPHONES, MAGNETOSCOPES, TV",magnetophones magnetoscopes tv,T01,2.3.1,14,new,True,True,OK — catégorie confirmée par smoke test
"MAT. INFORMATIQUE, ORDINATEURS",mat informatique ordinateurs,T01,2.3.2,19,new,True,True,OK — catégorie confirmée par smoke test
MATERIEL DE PHOTOCOPIEUSE ET DE REPROGRAPHIE,materiel de photocopieuse et de reprographie,T01,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
"MATERIEL PHOTOGRAPHIQUE, APPAREILS PHOTOS ET PELLICULES",materiel photographique appareils photos et pellicules,T01,2.3.2,19,new,True,True,OK — catégorie confirmée par smoke test
"MATERIELS INFORMATIQUES, ORDINATEURS",materiels informatiques ordinateurs,T01,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
"MATERIELS PHOTOGRAPHIQUES, APPAREILS PHOTOS ET PELLICULES",materiels photographiques appareils photos et pellicules,T01,2.3.3,23,new,True,True,OK — catégorie confirmée par smoke test
"MOBILIERS, AMEUBLEMENT",mobiliers ameublement,T01,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
MONNAIE ET BILLETS DE BANQUE,monnaie et billets de banque,T01,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
MUNITIONS NDA,munitions nda,T01,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
"MUNITIONS POUR CHASSE ET SPORT NDA, PYROTECHNIE, EXPLOISIFS",munitions pour chasse et sport nda pyrotechnie exploisifs,T01,2.3.3,23,new,True,True,OK — catégorie confirmée par smoke test
"OPTIQUE, LUNETTERIE, ARTICLES POUR FUMEURS",optique lunetterie articles pour fumeurs,T01,2.3.1,15,new,True,True,OK — catégorie confirmée par smoke test
"PERLES, PIERRES PRECIEUX",perles pierres precieux,T01,2.3.2,20,new,True,True,OK — catégorie confirmée par smoke test
RADIO EMETTEUR ET APARAILS METEO,radio emetteur et aparails meteo,T01,2.3.1,14,new,True,True,OK — catégorie confirmée par smoke test
RADIO EMETTEUR ET APPAREILS METEO,radio emetteur et appareils meteo,T01,2.3.2,21,new,True,True,OK — catégorie confirmée par smoke test
TABAC EN FEUILLE (MAT 1 ére),tabac en feuille mat 1 ere,T01,2.3.1,9,new,True,True,OK — catégorie confirmée par smoke test
TABAC EN FEUILLE (MAT 1ére),tabac en feuille mat 1ere,T01,2.3.2,22,new,True,True,OK — catégorie confirmée par smoke test
TELEPHONE ET ACCESSOIRES,telephone et accessoires,T01,2.3.1,14,new,True,True,OK — catégorie confirmée par smoke test
TELEVISIONS ET ACCESSOIRES,televisions et accessoires,T01,2.3.1,14,new,True,True,OK — catégorie confirmée par smoke test
VIN ET BOISSONS ALCOOLISEES > 13°,vin et boissons alcoolisees 13,T01,2.3.3,23,new,True,True,OK — catégorie confirmée par smoke test
VINS < = 13° NDA,vins 13 nda,T01,2.3.1,9,new,True,True,OK — catégorie confirmée par smoke test
VINS ET BOISSONS ALCOOLISEES >13°,vins et boissons alcoolisees 13,T01,2.3.2,22,new,True,True,OK — catégorie confirmée par smoke test
ANIMAUX VIVANTS,animaux vivants,T02,2.3.1,8,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
APPAREIL ELECTRO-MENAGERS ET CLIMATISEURS,appareil electromenagers et climatiseurs,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
APPAREILS ELECTRO-MENAGERS ET CLIMATISEURS,appareils electromenagers et climatiseurs,T02,2.3.2,16,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
APPAREILS MENAGERS NON ELECTRIQUES,appareils menagers non electriques,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
ARTICLES MAT. PECHE & CHASSE,articles mat peche chasse,T02,2.3.1,15,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
ARTICLES METALLIQUES NDA,articles metalliques nda,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
AVITAILLEMENTS HOTEL,avitaillements hotel,T02,2.3.1,9,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"BAGAGES, EFFETS PERSONNELS",bagages effets personnels,T02,2.3.1,15,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
BANANES,bananes,T02,2.3.1,8,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
BEURRE FROAMGE ET AUTRES PRODUITS LAITIERS NDA,beurre froamge et autres produits laitiers nda,T02,2.3.1,9,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
BEURRE FROMAGE ET AUTRES PRODUITS LAITIERS NDA,beurre fromage et autres produits laitiers nda,T02,2.3.3,24,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
BICYCLETTES ET ACCESSOIRES,bicyclettes et accessoires,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
BOISSONS ACOOLISEES SAUF < = 13°,boissons acoolisees sauf 13,T02,2.3.3,24,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
BOISSONS ACOOLISEES SAUF < = 13° NDA,boissons acoolisees sauf 13 nda,T02,2.3.1,9,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
BOISSONS ACOOLISEES SAUF VIN < = 13° NDA,boissons acoolisees sauf vin 13 nda,T02,2.3.2,17,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"BONNERIE, MERCERIE",bonnerie mercerie,T02,2.3.1,15,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
CABLES ELECTRONIQUES,cables electroniques,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"CACAO, CHOCOLAT, CHICOREE",cacao chocolat chicoree,T02,2.3.1,9,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"CAFE, NESCAFE",cafe nescafe,T02,2.3.1,9,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
CHAUSSURES,chaussures,T02,2.3.1,15,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
COLAS,colas,T02,2.3.1,8,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"CONDIMENT, EPICE, AROMES NATURELS OU ARTIFICIELS NDA",condiment epice aromes naturels ou artificiels nda,T02,2.3.1,9,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"CONDIMENTS, EPICE, AROMES NATURELS OU ARTIFICIELS NDA",condiments epice aromes naturels ou artificiels nda,T02,2.3.2,17,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
CONFITURE,confiture,T02,2.3.1,9,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
CONSERVES DE FRUITS,conserves de fruits,T02,2.3.1,10,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
CONSERVES DE LEGUMES,conserves de legumes,T02,2.3.1,10,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
CONSERVES DE POISSON CRUSTACES ET MOLLUSQUES NDA,conserves de poisson crustaces et mollusques nda,T02,2.3.1,9,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"CONSERVES DE VIANDE, ET CHARCUTERIE",conserves de viande et charcuterie,T02,2.3.1,9,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
COUTELLERIE,coutellerie,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"COUVERTURE, LINGERIE",couverture lingerie,T02,2.3.1,15,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"DROGUERIE, PRODUITS D’ENTRETIEN",droguerie produits dentretien,T02,2.3.2,18,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"DROGUERIES, PRODUITS D’ENTRETIEN",drogueries produits dentretien,T02,2.3.1,13,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
EFFETS DE TOILETTE,effets de toilette,T02,2.3.2,18,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
ELEMENTS DE CONSTRUCTION FINIS ET CONSTRUCTIONS EN METAL,elements de construction finis et constructions en metal,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"EXTINCTEURS, BOUTEILLES DE GAZ (vides ou pleines)",extincteurs bouteilles de gaz vides ou pleines,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
LEGUMES FRAIS NDA,legumes frais nda,T02,2.3.1,8,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"LIVRES, JOURNAUX, IMPRIMES",livres journaux imprimes,T02,2.3.1,15,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
MACHINES OUTILS,machines outils,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
MAROQUINERIE,maroquinerie,T02,2.3.1,15,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
MATERIEL DE PHOTOCOPIE ET DE REPROGRAPHIE,materiel de photocopie et de reprographie,T02,2.3.2,19,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
MATERIELS ELECTRIQUES ET APPAREIL ECLAIRAGE,materiels electriques et appareil eclairage,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
MATERIELS INDUSTRIEL NDA,materiels industriel nda,T02,2.3.3,24,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
MATERIELS INDUSTRIELS NDA,materiels industriels nda,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
METAL,metal,T02,2.3.2,18,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
MIROITERIE,miroiterie,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
MOTEURS ELCETRIQUES ET A EXPLOSION,moteurs elcetriques et a explosion,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
MOTOCYCLES SAUF SCOOOTER,motocycles sauf scoooter,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"OBJET ART, COLLECTION",objet art collection,T02,2.3.2,20,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
ORANGES,oranges,T02,2.3.1,8,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
OUTILS A MAIN,outils a main,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"PAPETERIE, ET MATERIELS, FOURNITURE DE BUREAU",papeterie et materiels fourniture de bureau,T02,2.3.1,15,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"PAPETERIRE, MATERIELS FOURNITURE DE BUREAU",papeterire materiels fourniture de bureau,T02,2.3.3,24,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"PAPETERIRE, MATERIELS FOURNITURES DE BUREAU",papeterire materiels fournitures de bureau,T02,2.3.2,20,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"PARFUMERIE, TEINTURE CAPILAIRE",parfumerie teinture capilaire,T02,2.3.2,20,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"PARFUMERIE, TEINTURE CAPILLAIRE",parfumerie teinture capillaire,T02,2.3.1,13,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
PATE ET PREPARATION ALIMENTAIRES A BASE DE PATE,pate et preparation alimentaires a base de pate,T02,2.3.1,9,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"PEINTURE, COLORANTS INDUSTRIELS RESINE POUR PEINTURE",peinture colorants industriels resine pour peinture,T02,2.3.1,13,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
PIECES DETACHEES DE MACHINES ET APPAREILS,pieces detachees de machines et appareils,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
PIECES DETACHEES DE VEHICULES ET DE MATERIEL DE TRANSPORT,pieces detachees de vehicules et de materiel de transport,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
PLATS CUISINES,plats cuisines,T02,2.3.1,9,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"PLOMBERIE, ROBINETTERIE",plomberie robinetterie,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
PNEUMATIQUES,pneumatiques,T02,2.3.1,15,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
POMMES,pommes,T02,2.3.1,8,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
PREPARATIONS ALIMENTAIRES NDA,preparations alimentaires nda,T02,2.3.1,9,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
PRODUITS COSMETIQUES,produits cosmetiques,T02,2.3.1,13,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
PRODUITS DE TOILETTE NDA,produits de toilette nda,T02,2.3.1,13,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
PRODUITS METALLURGIQUES NON FERREUX,produits metallurgiques non ferreux,T02,2.3.1,11,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"QUINCAILLERIE, BOULONNERIE, VISSERIE",quincaillerie boulonnerie visserie,T02,2.3.1,15,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"QUINCALLERIE, BOULONNERIE, VISSERIE",quincallerie boulonnerie visserie,T02,2.3.2,21,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
SACS ET COLIS POSTAUX,sacs et colis postaux,T02,2.3.1,15,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
SCOOTERS,scooters,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
SEL NDA,sel nda,T02,2.3.1,11,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
SIMILI- CUIRS,simili cuirs,T02,2.3.1,15,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
TEINTURE NDA,teinture nda,T02,2.3.1,13,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
TEINTURES NDA,teintures nda,T02,2.3.2,22,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"TEXTILE, HABILLEMENT, LINGE DE MAISON NDA",textile habillement linge de maison nda,T02,2.3.1,15,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
THE,the,T02,2.3.1,9,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"TISSUS, ETOFFES",tissus etoffes,T02,2.3.1,15,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
USTENSILES DE MENAGE,ustensiles de menage,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
USTENSILS DE MENAGE,ustensils de menage,T02,2.3.2,22,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"VAISSELLES, VERRERIE DE TABLE",vaisselles verrerie de table,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"VEHICULES ROULIER < 1,5 T",vehicules roulier 15 t,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"VEHICULES ROULIER > 2,5 T",vehicules roulier 25 t,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"VERNIS, DILUANT, SOLVANT, COLORANT",vernis diluant solvant colorant,T02,2.3.1,13,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
VERRE A VITRE ET AUTRE VERRE PLAT,verre a vitre et autre verre plat,T02,2.3.1,14,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
VETEMENTS NEUFS,vetements neufs,T02,2.3.1,15,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
VIANDE FRAICHE OU CONGELEE,viande fraiche ou congelee,T02,2.3.1,9,new,True,False,Catégorie T02 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
ACIDE GRAS,acide gras,T03,2.3.1,13,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
CONSERVE DE THON ET PICHARDS,conserve de thon et pichards,T03,2.3.1,9,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
CONSERVES DE THON ET PICHARDS,conserves de thon et pichards,T03,2.3.2,17,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
CUIRS ET PEAUX BRUTES,cuirs et peaux brutes,T03,2.3.1,8,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
CUIRS ET PEAUX BRUTS,cuirs et peaux bruts,T03,2.3.3,25,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
FARINE LACTEE,farine lactee,T03,2.3.1,9,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
FARINES LACTEE,farines lactee,T03,2.3.2,18,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
GLUCERINE BRUTE,glucerine brute,T03,2.3.2,19,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"GLUCOSE C6, H12 06 ET AUTRES",glucose c6 h12 06 et autres,T03,2.3.1,9,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
GLYCERINE BRUTE,glycerine brute,T03,2.3.1,13,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
HUILES BRUTES VEGETALES OU ANIMALES POUR LA SAVONNERIRE,huiles brutes vegetales ou animales pour la savonnerire,T03,2.3.1,8,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
HUILES COMESTIBLES EN VRAC NDA,huiles comestibles en vrac nda,T03,2.3.1,10,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
MATIERE PLASTIQUE BRUTE NDA,matiere plastique brute nda,T03,2.3.1,13,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
MATIERES PLASTIQUES BRUTES NDA,matieres plastiques brutes nda,T03,2.3.2,20,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
PRODUITS BRUTS D’ORIGINE ANIMALE ET VEGETALE NDA,produits bruts dorigine animale et vegetale nda,T03,2.3.2,21,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
PRODUITS BRUTS D’ORIGINE VEGETAL ET VEGETALE NDA,produits bruts dorigine vegetal et vegetale nda,T03,2.3.1,8,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
SAVONNERIRE,savonnerire,T03,2.3.2,19,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
SOUDE CAUSTIQUE,soude caustique,T03,2.3.1,13,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
SOUFFRE NDA,souffre nda,T03,2.3.1,11,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
SOUFRE NDA,soufre nda,T03,2.3.2,21,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
SUCRE BRUT ET GRANULE DE SUCRE,sucre brut et granule de sucre,T03,2.3.1,9,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
SUCRE RAFFINE EN MORCEUAX OU EN POUDRE,sucre raffine en morceuax ou en poudre,T03,2.3.1,9,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
SUIF,suif,T03,2.3.1,8,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
TALL- OIL,tall oil,T03,2.3.1,13,new,True,False,Catégorie T03 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
"BOIS DEBITES, SCIAGES, TRAVERSES",bois debites sciages traverses,T04,2.3.1,8,new,True,False,Catégorie T04 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
BOIS EN GRUMES,bois en grumes,T04,2.3.1,8,new,True,False,Catégorie T04 présente dans commodity_categories mais tarif PAD non confirmé par smoke test — à vérifier en DB
